index,Lobbying score,Highest paying industry info,Most loyal industry,Name
M001177,0.4770541099388308,"{'industry': 'Retired', 'donations': 311650, 'score:': 0.5}","{'industry': 'Securities &amp; Investment', 'score': 0.5588235294117647}",Tom McClintock
B001302,0.5011373685619088,"{'industry': 'Retired', 'donations': 325716, 'score:': 0.5}","{'industry': 'Business Services', 'score': 0.6341463414634146}",Andy Biggs
C001133,0.5053089096439459,"{'industry': 'Retired', 'donations': 532374, 'score:': 0.5}","{'industry': 'Business Services', 'score': 0.6585365853658537}",Juan Ciscomani
G000558,0.5889466836386298,"{'industry': 'Pharmaceuticals/Health Products', 'donations': 343700, 'score:': 0.5909090909090909}","{'industry': 'Telecom Services', 'score': 0.7419354838709677}",Brett Guthrie
B001275,0.596783272956707,"{'industry': 'Health Professionals', 'donations': 334950, 'score:': 0.5714285714285714}","{'industry': 'Telecom Services', 'score': 0.8064516129032258}",Larry Bucshon
C001129,0.6358291163206994,"{'industry': 'Retired', 'donations': 71171, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Mike Collins
O000174,0.6367281611434475,"{'industry': 'Retired', 'donations': 10835137, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Jon Ossoff
G000585,0.6386039075694167,"{'industry': 'Securities &amp; Investment', 'donations': 105300, 'score:': 0.6764705882352942}","{'industry': 'Public Sector Unions', 'score': 0.8}",Jimmy Gomez
L000583,0.6386256505122704,"{'industry': 'Commercial Banks', 'donations': 65925, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Barry Loudermilk
S001185,0.6393150701380168,"{'industry': 'Health Professionals', 'donations': 221195, 'score:': 0.5714285714285714}","{'industry': 'Lawyers/Law Firms', 'score': 0.8}",Terri A. Sewell
B001257,0.6404182952705033,"{'industry': 'Health Professionals', 'donations': 216406, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Gus M. Bilirakis
C001108,0.6441970944636228,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 99550, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",James Comer
C001039,0.6544316813448391,"{'industry': 'Retired', 'donations': 154278, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Kat Cammack
S001194,0.6562372067408638,"{'industry': 'Leadership PACs', 'donations': 347000, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Brian Schatz
D000628,0.6573688916810143,"{'industry': 'Health Professionals', 'donations': 238043, 'score:': 0.5238095238095238}","{'industry': 'Retired', 'score': 1.0}",Neal P. Dunn
Q000023,0.6576299876173645,"{'industry': 'Securities &amp; Investment', 'donations': 102900, 'score:': 0.7058823529411765}","{'industry': 'Public Sector Unions', 'score': 1.0}",Mike Quigley
S001191,0.6706417065390097,"{'industry': 'Securities &amp; Investment', 'donations': 3106398, 'score:': 0.4411764705882353}","{'industry': 'Retired', 'score': 1.0}",Kyrsten Sinema
W000187,0.6754768428210086,"{'industry': 'Securities &amp; Investment', 'donations': 124550, 'score:': 0.6764705882352942}","{'industry': 'Public Sector Unions', 'score': 1.0}",Maxine Waters
Y000067,0.6761949768319716,"{'industry': 'Misc Transport', 'donations': 130150, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Rudy Yakym III
J000309,0.6786563288510679,"{'industry': 'Lawyers/Law Firms', 'donations': 46616, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Jonathan L. Jackson
G000559,0.6794144398343797,"{'industry': 'Transportation Unions', 'donations': 94000, 'score:': 0.3333333333333333}","{'industry': 'Public Sector Unions', 'score': 1.0}",John Garamendi
M000934,0.6847276513679359,"{'industry': 'Securities &amp; Investment', 'donations': 546080, 'score:': 0.6176470588235294}","{'industry': 'Retired', 'score': 1.0}",Jerry Moran
E000298,0.6851460707341354,"{'industry': 'Health Professionals', 'donations': 128020, 'score:': 0.47619047619047616}","{'industry': 'Retired', 'score': 1.0}",Ron Estes
P000608,0.6900789029080782,"{'industry': 'Pharmaceuticals/Health Products', 'donations': 399540, 'score:': 0.5909090909090909}","{'industry': 'Retired', 'score': 1.0}",Scott H. Peters
W000821,0.6905412822556821,"{'industry': 'Oil &amp; Gas', 'donations': 184200, 'score:': 0.5}","{'industry': 'Retired', 'score': 1.0}",Bruce Westerman
B001287,0.6913494035608919,"{'industry': 'Health Professionals', 'donations': 295800, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Ami Bera
R000599,0.6924001711030742,"{'industry': 'Health Professionals', 'donations': 375209, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Raul Ruiz
C000880,0.6933628143736567,"{'industry': 'Securities &amp; Investment', 'donations': 884956, 'score:': 0.7352941176470589}","{'industry': 'Lawyers/Law Firms', 'score': 0.8}",Mike Crapo
V000130,0.6955752332742908,"{'industry': 'Securities &amp; Investment', 'donations': 117740, 'score:': 0.7352941176470589}","{'industry': 'Public Sector Unions', 'score': 1.0}",Juan Vargas
R000584,0.6979474982715829,"{'industry': 'Leadership PACs', 'donations': 345217, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",James E. Risch
O000019,0.6987807058420409,"{'industry': 'Leadership PACs', 'donations': 54000, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Jay Obernolte
W000788,0.7050447273390107,"{'industry': 'Lawyers/Law Firms', 'donations': 68217, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Nikema Williams
E000215,0.7052613600200999,"{'industry': 'Health Professionals', 'donations': 210450, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Anna G. Eshoo
K000385,0.7064640587429826,"{'industry': 'Health Professionals', 'donations': 173292, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Robin L. Kelly
B001314,0.7077633480532851,"{'industry': 'Retired', 'donations': 112422, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Aaron Bean
W000808,0.7099864360800271,"{'industry': 'Public Sector Unions', 'donations': 42000, 'score:': 1.0}","{'industry': 'Public Sector Unions', 'score': 1.0}",Frederica S. Wilson
P000615,0.710967032342525,"{'industry': 'Retired', 'donations': 126700, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Greg Pence
B001299,0.7123138823828473,"{'industry': 'Retired', 'donations': 123048, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Jim Banks
K000391,0.71509839171208,"{'industry': 'Health Professionals', 'donations': 875050, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Raja Krishnamoorthi
D000216,0.716961280756985,"{'industry': 'Health Professionals', 'donations': 121423, 'score:': 0.5238095238095238}","{'industry': 'Retired', 'score': 1.0}",Rosa L. DeLauro
D000197,0.719290992287077,"{'industry': 'Health Professionals', 'donations': 136417, 'score:': 0.5714285714285714}","{'industry': 'Public Sector Unions', 'score': 1.0}",Diana DeGette
P000609,0.7206818882613022,"{'industry': 'Retired', 'donations': 121050, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Gary J. Palmer
